date,county,retail_and_recreation_percent_change,grocery_and_pharmacy_percent_change,parks_percent_change,transit_stations_percent_change,workplaces_percent_change,residential_percent_change,Season,Count,temp,dew,humidity,precip,snowdepth,windspeed
2020-01-11,ALBANY,,,,,,,,,34.714285714285715,21.814285714285717,60.04285714285714,0.0052857142857142,0.0714285714285714,19.185714285714287
2020-01-11,ALLEGANY,,,,,,,,,31.12857142857143,24.214285714285715,76.08571428571429,0.0852857142857142,1.542857142857143,18.114285714285717
2020-01-11,BRONX,,,,,,,,,40.35714285714285,25.842857142857145,57.6,0.0041428571428571,0.1571428571428571,18.457142857142856
2020-01-11,BROOME,,,,,,,,,30.642857142857142,23.3,74.89999999999999,0.0385714285714285,1.6,17.45714285714286
2020-01-11,CATTARAUGUS,,,,,,,,,33.285714285714285,25.4,73.34285714285714,0.095,3.542857142857143,17.271428571428572
2020-01-11,CAYUGA,,,,,,,,,34.08571428571429,24.37142857142857,67.87142857142858,0.0624285714285714,1.1,17.657142857142855
2020-01-11,CHAUTAUQUA,,,,,,,,,34.74285714285714,26.728571428571428,73.22857142857143,0.0991428571428571,1.3142857142857145,19.97142857142857
2020-01-11,CHEMUNG,,,,,,,,,34.2,25.042857142857144,70.01428571428572,0.0224285714285714,0.4285714285714285,16.685714285714287
2020-01-11,CHENANGO,,,,,,,,,31.428571428571427,24.642857142857142,76.57142857142857,0.0401428571428571,1.4142857142857144,16.385714285714286
2020-01-11,CLINTON,,,,,,,,,26.7,20.2,76.97142857142856,0.1497142857142857,1.7142857142857142,12.728571428571428
2020-01-11,COLUMBIA,,,,,,,,,33.128571428571426,21.885714285714283,63.85714285714285,0.0075714285714285,0.1714285714285714,16.942857142857143
2020-01-11,CORTLAND,,,,,,,,,32.17142857142857,24.97142857142857,75.18571428571428,0.0407142857142857,1.5714285714285714,18.04285714285714
2020-01-11,DELAWARE,,,,,,,,,30.885714285714283,27.15714285714285,86.28571428571429,0.0289999999999999,1.375,10.8
2020-01-11,DUTCHESS,,,,,,,,,34.714285714285715,23.557142857142857,64.78571428571429,0.0,0.0,5.285714285714286
2020-01-11,ERIE,,,,,,,,,35.82857142857143,27.17142857142857,71.42857142857143,0.1452857142857142,0.8714285714285713,20.514285714285712
2020-01-11,ESSEX,,,,,,,,,25.82857142857143,19.4,76.8,0.1261428571428571,7.971428571428571,13.257142857142856
2020-01-11,FRANKLIN,,,,,,,,,23.928571428571427,18.642857142857142,80.28571428571429,0.1707142857142857,5.728571428571429,13.157142857142857
2020-01-11,FULTON,,,,,,,,,32.25714285714285,22.228571428571428,67.11428571428571,0.0195714285714285,5.614285714285714,15.414285714285716
2020-01-11,GENESEE,,,,,,,,,34.27142857142857,26.75714285714286,74.89999999999999,0.0701428571428571,1.2428571428571429,20.428571428571427
2020-01-11,GREENE,,,,,,,,,34.55714285714286,21.842857142857145,60.457142857142856,0.004,0.9571428571428572,15.657142857142857
2020-01-11,HAMILTON,,,,,,,,,29.071428571428573,21.085714285714285,73.18571428571428,0.0097142857142857,10.071428571428571,12.857142857142858
2020-01-11,HERKIMER,,,,,,,,,31.714285714285715,26.142857142857142,80.74285714285715,0.0858571428571428,5.671428571428572,16.385714285714286
2020-01-11,JEFFERSON,,,,,,,,,31.38571428571429,22.87142857142857,71.44285714285715,0.1148571428571428,3.7142857142857135,17.257142857142856
2020-01-11,KINGS,,,,,,,,,41.07142857142857,27.585714285714285,59.91428571428571,0.0035714285714285,0.1571428571428571,12.814285714285717
2020-01-11,LEWIS,,,,,,,,,30.257142857142856,22.642857142857142,73.87142857142858,0.1228571428571428,6.614285714285714,16.614285714285714
2020-01-11,LIVINGSTON,,,,,,,,,35.74285714285714,25.942857142857143,68.25714285714285,0.0351428571428571,0.6857142857142857,16.32857142857143
2020-01-11,MADISON,,,,,,,,,33.22857142857143,25.457142857142856,73.64285714285714,0.0801428571428571,2.2142857142857144,17.514285714285712
2020-01-11,MONROE,,,,,,,,,34.457142857142856,25.5,70.54285714285714,0.0977142857142857,2.3000000000000003,18.97142857142857
2020-01-11,MONTGOMERY,,,,,,,,,35.07142857142857,21.9,59.471428571428575,0.0045714285714285,3.4857142857142853,20.25714285714286
2020-01-11,NASSAU,,,,,,,,,39.614285714285714,27.17142857142857,62.971428571428575,0.0091428571428571,0.0,19.12857142857143
2020-01-11,NEW YORK,,,,,,,,,40.971428571428575,25.8,56.142857142857146,0.0061428571428571,0.1285714285714285,14.6
2020-01-11,NIAGARA,,,,,,,,,34.72857142857143,27.357142857142858,75.01428571428572,0.144,0.9857142857142857,20.65714285714285
2020-01-11,ONEIDA,,,,,,,,,31.728571428571428,26.142857142857142,80.61428571428571,0.0865714285714285,2.1142857142857143,16.385714285714286
2020-01-11,ONONDAGA,,,,,,,,,34.58571428571429,25.27142857142857,69.27142857142857,0.0735714285714285,1.1714285714285713,20.714285714285715
2020-01-11,ONTARIO,,,,,,,,,34.72857142857143,25.142857142857142,68.55714285714285,0.0402857142857142,1.1,17.057142857142857
2020-01-11,ORANGE,,,,,,,,,34.142857142857146,24.11428571428572,67.95714285714286,0.0047142857142857,0.0,16.085714285714285
2020-01-11,ORLEANS,,,,,,,,,34.528571428571425,26.628571428571423,73.5,0.099,0.9142857142857144,19.085714285714285
2020-01-11,OSWEGO,,,,,,,,,33.34285714285714,23.457142857142856,67.51428571428572,0.0744285714285714,2.757142857142857,17.857142857142858
2020-01-11,OTSEGO,,,,,,,,,31.728571428571428,26.142857142857142,80.72857142857143,0.0858571428571428,2.042857142857143,16.385714285714286
